Fichier,Section,Séquence,Texte ES,Texte EN,Texte FR,Nouveau ES,Nouveau EN,Nouveau FR
components/RoomsPage.tsx,RoomsPage,seq-072,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-073,Desde $140.000,"From $140,000",À partir de 140 000,,,
components/RoomsPage.tsx,RoomsPage,seq-074,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-075,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-076,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-077,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-078,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-079,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-080,Habitación Kolaso,Habitación Kolaso,Habitación Kolaso,,,
components/RoomsPage.tsx,RoomsPage,seq-081,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-082,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-083,Desde $150.000,"From $150,000",À partir de 150 000,,,
components/RoomsPage.tsx,RoomsPage,seq-084,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-085,1 cama Queen,1 Queen bed,1 lit Queen,,,
components/RoomsPage.tsx,RoomsPage,seq-086,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-087,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-088,1 Queen + 1 doble,1 Queen + 1 double,1 Queen + 1 double,,,
components/RoomsPage.tsx,RoomsPage,seq-089,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-090,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-091,Habitación Abalenga,Habitación Abalenga,Habitación Abalenga,,,
components/RoomsPage.tsx,RoomsPage,seq-092,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-093,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-094,Desde $160.000,"From $160,000",À partir de 160 000,,,
components/RoomsPage.tsx,RoomsPage,seq-095,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-096,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-097,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-098,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-099,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-100,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-101,Dormitorio Makunguri,Dormitory Makunguri,Dortoir Makunguri,,,
components/RoomsPage.tsx,RoomsPage,seq-102,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-103,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-104,Desde $95.000,"From $95,000",À partir de 95 000,,,
components/RoomsPage.tsx,RoomsPage,seq-105,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-106,2 camarotes (1 doble + 1 sencilla arriba c/u),2 bunk beds (1 double + 1 single on top each),2 lits superposés (1 double + 1 simple en haut chacun),,,
components/RoomsPage.tsx,RoomsPage,seq-107,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-108,2 camarotes,2 bunk beds,2 lits superposés,,,
components/RoomsPage.tsx,RoomsPage,seq-109,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-110,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-111,Habitación Eskurana,Habitación Eskurana,Habitación Eskurana,,,
components/RoomsPage.tsx,RoomsPage,seq-112,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-113,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-114,Desde $120.000,"From $120,000",À partir de 120 000,,,
components/RoomsPage.tsx,RoomsPage,seq-115,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-116,1 camarote (1 doble + 1 sencilla arriba),1 bunk bed (1 double + 1 single on top),1 lit superposé (1 double + 1 simple en haut),,,
components/RoomsPage.tsx,RoomsPage,seq-117,Baño exterior compartido,Shared outdoor bathroom,Salle de bain ext. partagée,,,
components/RoomsPage.tsx,RoomsPage,seq-118,1 camarote,1 bunk bed,1 lit superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-119,Baño compartido,Shared bathroom,Salle de bain partagée,,,
components/RoomsPage.tsx,RoomsPage,seq-120,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-121,Habitación Makano,Habitación Makano,Habitación Makano,,,
components/RoomsPage.tsx,RoomsPage,seq-122,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-123,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-124,Desde $125.000,"From $125,000",À partir de 125 000,,,
components/RoomsPage.tsx,RoomsPage,seq-125,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-126,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-127,1 camarote,1 bunk bed,1 lit superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-128,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-129,1 doble + 1 camarote,1 double + 1 bunk,1 double + 1 superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-130,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-131,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-132,Dormitorio Asinaria,Dormitory Asinaria,Dortoir Asinaria,,,
components/RoomsPage.tsx,RoomsPage,seq-133,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-134,Un refugio íntimo rodeado de palmeras y flores tropicales. La naturaleza entra por las ventanas abiertas mientras duermes envuelto en frescura.,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-135,Desde $90.000,"From $90,000",À partir de 90 000,,,
components/RoomsPage.tsx,RoomsPage,seq-136,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-137,2 camarotes (cama sencilla),2 bunk beds (single),2 lits superposés (lit simple),,,
components/RoomsPage.tsx,RoomsPage,seq-138,Baño exterior,Outdoor bathroom,Salle de bain extérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-139,2 camarotes,2 bunk beds,2 lits superposés,,,
components/RoomsPage.tsx,RoomsPage,seq-140,Baño exterior,Outdoor bathroom,Salle de bain extérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-141,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-142,En todas nuestras habitaciones,In all our rooms,Dans toutes nos chambres,,,
components/RoomsPage.tsx,RoomsPage,seq-143,Ropa de cama egipcia,Egyptian cotton linens,Draps en coton égyptien,,,
components/RoomsPage.tsx,RoomsPage,seq-144,300 hilos de suavidad,300 thread count softness,Douceur 300 fils,,,
components/RoomsPage.tsx,RoomsPage,seq-145,Agua caliente solar,Solar hot water,Eau chaude solaire,,,
components/RoomsPage.tsx,RoomsPage,seq-146,Ecológica y abundante,Eco-friendly and abundant,Écologique et abondante,,,
components/RoomsPage.tsx,RoomsPage,seq-147,WiFi gratuito,Free WiFi,WiFi gratuit,,,
components/RoomsPage.tsx,RoomsPage,seq-148,Conexión estable,Stable connection,Connexion stable,,,
components/RoomsPage.tsx,RoomsPage,seq-149,Café de la región,Regional coffee,Café régional,,,
components/RoomsPage.tsx,RoomsPage,seq-150,Recién molido cada mañana,Freshly ground each morning,Moulu frais chaque matin,,,
components/RoomsPage.tsx,RoomsPage,seq-151,Limpieza diaria,Daily cleaning,Ménage quotidien,,,
components/RoomsPage.tsx,RoomsPage,seq-152,Productos biodegradables,Biodegradable products,Produits biodégradables,,,
components/RoomsPage.tsx,RoomsPage,seq-153,Atención personalizada,Personalized attention,Attention personnalisée,,,
components/RoomsPage.tsx,RoomsPage,seq-154,24/7 para ti,24/7 for you,24/7 pour vous,,,
components/RoomsPage.tsx,RoomsPage,seq-155,El arte de dormir bien,The art of sleeping well,L'art de bien dormir,,,
components/RoomsPage.tsx,RoomsPage,seq-156,"""Crear el ambiente perfecto para el descanso es nuestra obsesión. Desde la temperatura ideal hasta el silencio absoluto, todo está calculado para que tu cuerpo y mente se rindan al sueño.""","""Creating the perfect environment for rest is our obsession. From the ideal temperature to absolute silence, everything is calculated so that your body and mind surrender to sleep.""","""Créer l'environnement parfait pour le repos est notre obsession. De la température idéale au silence absolu, tout est calculé pour que votre corps et esprit se laissent aller au sommeil.""",,,
components/RoomsPage.tsx,RoomsPage,seq-157,"María Elena, Anfitriona","Maria Elena, Host","Maria Elena, Hôtesse",,,
components/RoomsPage.tsx,RoomsPage,seq-158,¿Listo para el descanso que mereces?,Ready for the rest you deserve?,Prêt pour le repos que vous méritez ?,,,
components/RoomsPage.tsx,RoomsPage,seq-159,"Reserva directamente y obtén el mejor precio garantizado, desayuno incluido y late check-out disponible.","Book directly and get the best guaranteed price, breakfast included and late check-out available.","Réservez directement et obtenez le meilleur prix garanti, petit-déjeuner inclus et late check-out disponible.",,,
components/RoomsPage.tsx,RoomsPage,seq-160,Reservar habitación,Book room,Réserver une chambre,,,
components/RoomsPage.tsx,RoomsPage,seq-161,Cancelación gratuita hasta 48h antes,Free cancellation up to 48h before,Annulation gratuite jusqu'à 48h avant,,,
components/RoomsPage.tsx,RoomsPage,seq-162,Babor,Babor,Babor,,,
components/RoomsPage.tsx,RoomsPage,seq-163,Para el alma aventurera que busca experiencias únicas,For the adventurous soul seeking unique experiences,Pour l'âme aventurière en quête d'expériences uniques,,,
components/RoomsPage.tsx,RoomsPage,seq-164,Ver habitaciones Babor,See Babor rooms,Voir les chambres Babor,,,
components/RoomsPage.tsx,RoomsPage,seq-165,Estribor,Estribor,Estribor,,,
components/RoomsPage.tsx,RoomsPage,seq-166,Para quien busca descanso profundo y reconexión,For those seeking deep rest and reconnection,Pour qui cherche le repos profond et la reconnexion,,,
components/RoomsPage.tsx,RoomsPage,seq-167,Ver habitaciones Estribor,See Estribor rooms,Voir les chambres Estribor,,,
components/RoomsPage.tsx,RoomsPage,seq-168,"Crear el ambiente perfecto para el descanso es nuestra obsesión. Desde la temperatura ideal hasta el silencio absoluto, todo está calculado para que tu cuerpo y mente se rindan al sueño.","Creating the perfect environment for rest is our obsession. From the ideal temperature to absolute silence, everything is calculated so that your body and mind surrender to sleep.","Créer l'environnement parfait pour le repos est notre obsession. De la température idéale au silence absolu, tout est calculé pour que votre corps et esprit se laissent aller au sommeil.",,,
components/RoomsSection.tsx,RoomsSection,seq-001,Nuestra Joya,Our Crown Jewel,Notre Joyau,,,
components/RoomsSection.tsx,RoomsSection,seq-002,Cabaña APU,APU Cabin,Cabane APU,,,
components/RoomsSection.tsx,RoomsSection,seq-003,"Frente al mar, donde las olas cantan tu sueño","Beachfront, where the waves sing you to sleep","Front de mer, où les vagues chantent votre sommeil",,,
components/RoomsSection.tsx,RoomsSection,seq-004,"Una cabaña privada a solo metros del océano, con terraza propia y hamaca bajo las estrellas.","A private cabin just meters from the ocean, with its own terrace and hammock under the stars.","Une cabane privée à quelques mètres de l'océan, avec sa propre terrasse et son hamac sous les étoiles.",,,
components/RoomsSection.tsx,RoomsSection,seq-005,Desde $160.000,"From $160,000",À partir de 160 000 $,,,
components/RoomsSection.tsx,RoomsSection,seq-006,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsSection.tsx,RoomsSection,seq-007,Luna de miel,Honeymoon,Lune de miel,,,
components/RoomsSection.tsx,RoomsSection,seq-008,1 cama doble,1 double bed,1 lit double,,,
components/RoomsSection.tsx,RoomsSection,seq-009,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsSection.tsx,RoomsSection,seq-010,Elegancia,Elegance,Élégance,,,
components/RoomsSection.tsx,RoomsSection,seq-011,Vistas panorámicas que enamoran,Breathtaking panoramic views,Vues panoramiques à couper le souffle,,,
components/RoomsSection.tsx,RoomsSection,seq-012,Suite espaciosa con ventanales que enmarcan el océano como una pintura viviente.,Spacious suite with floor-to-ceiling windows framing the ocean like a living painting.,Suite spacieuse avec des fenêtres du sol au plafond encadrant l'océan comme un tableau vivant.,,,
components/RoomsSection.tsx,RoomsSection,seq-013,Desde $180.000,"From $180,000",À partir de 180 000 $,,,
components/RoomsSection.tsx,RoomsSection,seq-014,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsSection.tsx,RoomsSection,seq-015,Estancias largas,Extended stays,Séjours longs,,,
components/RoomsSection.tsx,RoomsSection,seq-016,Café,Coffee,Café,,,
components/RoomsSection.tsx,RoomsSection,seq-017,Tina,Tub,Baignoire,,,
components/RoomsSection.tsx,RoomsSection,seq-018,Villa Privada,Private Villa,Villa Privée,,,
components/RoomsSection.tsx,RoomsSection,seq-019,Tu refugio junto al mar,Your seaside refuge,Votre refuge au bord de la mer,,,
components/RoomsSection.tsx,RoomsSection,seq-020,"Villa privada con terraza, hamaca, A/C y acceso directo a la playa.","Private villa with terrace, hammock, A/C and direct beach access.","Villa privée avec terrasse, hamac, A/C et accès direct à la plage.",,,
components/RoomsSection.tsx,RoomsSection,seq-021,Desde $250.000,"From $250,000",À partir de 250 000 $,,,
components/RoomsSection.tsx,RoomsSection,seq-022,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsSection.tsx,RoomsSection,seq-023,Familias,Families,Familles,,,
components/RoomsSection.tsx,RoomsSection,seq-024,Frente al mar,Beachfront,Front de mer,,,
components/RoomsSection.tsx,RoomsSection,seq-025,Amanecer,Sunrise,Lever soleil,,,
components/RoomsSection.tsx,RoomsSection,seq-026,Desayuno,Breakfast,Petit-déj.,,,
components/RoomsSection.tsx,RoomsSection,seq-027,Alojamiento,Accommodation,Hébergement,,,
components/RoomsSection.tsx,RoomsSection,seq-028,Reservar,Book,Réserver,,,
components/RoomsSection.tsx,RoomsSection,seq-029,1 cama doble,1 double bed,1 lit double,,,
components/RoomsSection.tsx,RoomsSection,seq-030,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsSection.tsx,RoomsSection,seq-031,Vista panorámica,Panoramic view,Vue panoramique,,,
components/RoomsSection.tsx,RoomsSection,seq-032,Balcón,Balcony,Balcon,,,
components/RoomsSection.tsx,RoomsSection,seq-033,Sala de estar,Living room,Salon,,,
components/RoomsSection.tsx,RoomsSection,seq-034,Cama King,King bed,Lit King,,,
components/RoomsSection.tsx,RoomsSection,seq-035,Tina,Bathtub,Baignoire,,,
components/RoomsSection.tsx,RoomsSection,seq-036,Acceso playa,Beach access,Accès plage,,,
components/RoomsSection.tsx,RoomsSection,seq-037,Terraza,Terrace,Terrasse,,,
components/RoomsSection.tsx,RoomsSection,seq-038,Hamaca,Hammock,Hamac,,,
components/RoomsSection.tsx,RoomsSection,seq-039,A/C,A/C,A/C,,,
components/RoomsSection.tsx,RoomsSection,seq-040,Mini bar,Mini bar,Mini bar,,,
lib/i18n/metadata.ts,metadata,seq-001,Palenque Eco Hotel - Paraíso en la Costa Caribe Colombiana,Palenque Eco Hotel - Paradise on the Colombian Caribbean Coast,Palenque Eco Hotel - Paradis sur la Côte Caraïbe Colombienne,,,
lib/i18n/metadata.ts,metadata,seq-002,"Descubre la magia de Palenque en nuestro Eco Hotel. Playas de arena blanca, aguas cristalinas, spa de lujo y gastronomía local. Reserva tu escapada paradisíaca.","Discover the magic of Palenque at our Eco Hotel. White sand beaches, crystal clear waters, luxury spa and local gastronomy. Book your paradise getaway.","Découvrez la magie de Palenque dans notre Eco Hôtel. Plages de sable blanc, eaux cristallines, spa de luxe et gastronomie locale. Réservez votre escapade paradisiaque.",,,
lib/i18n/translations.ts,translations,seq-001,Inicio,Home,Accueil,,,
lib/i18n/translations.ts,translations,seq-002,Habitaciones,Rooms,Chambres,,,
lib/i18n/translations.ts,translations,seq-003,Restaurante,Restaurant,Restaurant,,,
lib/i18n/translations.ts,translations,seq-004,Cómo llegar,How to get there,Comment arriver,,,
lib/i18n/translations.ts,translations,seq-005,Actividades,Activities,Activités,,,
lib/i18n/translations.ts,translations,seq-006,Contacto,Contact,Contact,,,
lib/i18n/translations.ts,translations,seq-007,Contactar,Contact Us,Nous contacter,,,
lib/i18n/translations.ts,translations,seq-008,"Palenque, Bolívar, Colombia","Palenque, Bolivar, Colombia","Palenque, Bolívar, Colombie",,,
lib/i18n/translations.ts,translations,seq-009,Palenque Eco Hotel,Palenque Eco Hotel,Palenque Eco Hotel,,,
lib/i18n/translations.ts,translations,seq-010,La evasión comienza Aquí,Escape Begins Here,L'évasion commence Ici,,,
lib/i18n/translations.ts,translations,seq-011,Descubre un santuario donde el tiempo se detiene y cada ola canta tu libertad,Discover a sanctuary where time stops and every wave sings your freedom,Découvrez un sanctuaire où le temps s'arrête et chaque vague chante votre liberté,,,
lib/i18n/translations.ts,translations,seq-012,Ver habitaciones,View Rooms,Voir les chambres,,,
lib/i18n/translations.ts,translations,seq-013,Bienvenido al Paraíso,Welcome to Paradise,Bienvenue au Paradis,,,
lib/i18n/translations.ts,translations,seq-014,Un refugio sostenible donde la naturaleza caribeña se encuentra con el lujo consciente,A sustainable refuge where Caribbean nature meets conscious luxury,Un refuge durable où la nature caraïbe rencontre le luxe conscient,,,
lib/i18n/translations.ts,translations,seq-015,"En Palenque Eco Hotel, cada amanecer trae una nueva oportunidad de conectar con lo esencial. Nuestro compromiso con el medio ambiente y tu confort crean una experiencia única e inolvidable.","At Palenque Eco Hotel, every dawn brings a new opportunity to connect with what matters. Our commitment to the environment and your comfort create a unique and unforgettable experience.","Au Palenque Eco Hotel, chaque aube apporte une nouvelle opportunité de se connecter à l'essentiel. Notre engagement envers l'environnement et votre confort créent une expérience unique et inoubliable.",,,
lib/i18n/translations.ts,translations,seq-016,¿Por qué elegirnos?,Why Choose Us?,Pourquoi nous choisir ?,,,
lib/i18n/translations.ts,translations,seq-017,Frente al Mar,Beachfront,Front de Mer,,,
lib/i18n/translations.ts,translations,seq-018,Acceso directo a playas de arena blanca y aguas cristalinas del Caribe colombiano,Direct access to white sand beaches and crystal clear waters of the Colombian Caribbean,Accès direct aux plages de sable blanc et aux eaux cristallines de la Caraïbe colombienne,,,
lib/i18n/translations.ts,translations,seq-019,Eco-Friendly,Eco-Friendly,Éco-Responsable,,,
lib/i18n/translations.ts,translations,seq-020,"Energía solar, agua reciclada y arquitectura sostenible en armonía con la naturaleza","Solar energy, recycled water and sustainable architecture in harmony with nature","Énergie solaire, eau recyclée et architecture durable en harmonie avec la nature",,,
lib/i18n/translations.ts,translations,seq-021,Confort Único,Unique Comfort,Confort Unique,,,
lib/i18n/translations.ts,translations,seq-022,Habitaciones diseñadas para el descanso con vistas panorámicas al océano,Rooms designed for rest with panoramic ocean views,Chambres conçues pour le repos avec vues panoramiques sur l'océan,,,
lib/i18n/translations.ts,translations,seq-023,Gastronomía Local,Local Cuisine,Gastronomie Locale,,,
lib/i18n/translations.ts,translations,seq-024,Sabores auténticos de la región preparados con ingredientes frescos y locales,Authentic flavors of the region prepared with fresh local ingredients,Saveurs authentiques de la région préparées avec des ingrédients frais et locaux,,,
lib/i18n/translations.ts,translations,seq-025,Nuestras Habitaciones,Our Rooms,Nos Chambres,,,
lib/i18n/translations.ts,translations,seq-026,Espacios diseñados para tu descanso,Spaces designed for your rest,Des espaces conçus pour votre repos,,,
lib/i18n/translations.ts,translations,seq-027,Habitación Estándar,Standard Room,Chambre Standard,,,
lib/i18n/translations.ts,translations,seq-028,"Cama queen size, baño privado, ventilador y vista al jardín","Queen size bed, private bathroom, fan and garden view","Lit queen size, salle de bain privée, ventilateur et vue sur le jardin",,,
lib/i18n/translations.ts,translations,seq-029,Desde $120/noche,From $120/night,À partir de 120€/nuit,,,
lib/i18n/translations.ts,translations,seq-030,Suite Deluxe,Deluxe Suite,Suite Deluxe,,,
lib/i18n/translations.ts,translations,seq-031,"Cama king size, baño privado, A/C, balcón con vista al mar","King size bed, private bathroom, A/C, balcony with sea view","Lit king size, salle de bain privée, A/C, balcon avec vue sur la mer",,,
lib/i18n/translations.ts,translations,seq-032,Desde $180/noche,From $180/night,À partir de 180€/nuit,,,
lib/i18n/translations.ts,translations,seq-033,Bungalow Frente al Mar,Beachfront Bungalow,Bungalow Front de Mer,,,
lib/i18n/translations.ts,translations,seq-034,"Villa privada con terraza, hamaca, A/C y acceso directo a la playa","Private villa with terrace, hammock, A/C and direct beach access","Villa privée avec terrasse, hamac, A/C et accès direct à la plage",,,
lib/i18n/translations.ts,translations,seq-035,Desde $250/noche,From $250/night,À partir de 250€/nuit,,,
lib/i18n/translations.ts,translations,seq-036,Ver todas las habitaciones,View all rooms,Voir toutes les chambres,,,
lib/i18n/translations.ts,translations,seq-037,Servicios & Experiencias,Services & Experiences,Services & Expériences,,,
lib/i18n/translations.ts,translations,seq-038,Todo lo que necesitas para una estancia perfecta,Everything you need for a perfect stay,Tout ce dont vous avez besoin pour un séjour parfait,,,
lib/i18n/translations.ts,translations,seq-039,Restaurante,Restaurant,Restaurant,,,
lib/i18n/translations.ts,translations,seq-040,Cocina local e internacional con productos frescos del mar y la tierra,Local and international cuisine with fresh products from sea and land,Cuisine locale et internationale avec des produits frais de la mer et de la terre,,,
lib/i18n/translations.ts,translations,seq-041,Cómo Llegar,How to Get There,Accès,,,
lib/i18n/translations.ts,translations,seq-042,Encuentra nuestra ubicación y las mejores rutas para llegar al hotel,Find our location and the best routes to get to the hotel,Trouvez notre emplacement et les meilleurs itinéraires pour rejoindre l'hôtel,,,
lib/i18n/translations.ts,translations,seq-043,Actividades,Activities,Activités,,,
lib/i18n/translations.ts,translations,seq-044,"Excursiones, snorkel, kayak y tours culturales por el pueblo palenquero","Excursions, snorkeling, kayaking and cultural tours of Palenque village","Excursions, snorkeling, kayak et visites culturelles du village palenquero",,,
lib/i18n/translations.ts,translations,seq-045,Piscina Natural,Natural Pool,Piscine Naturelle,,,
lib/i18n/translations.ts,translations,seq-046,Relájate en nuestra piscina ecológica con vistas al mar Caribe,Relax in our eco-friendly pool with views of the Caribbean Sea,Détendez-vous dans notre piscine écologique avec vue sur la mer des Caraïbes,,,
lib/i18n/translations.ts,translations,seq-047,Galería,Gallery,Galerie,,,
lib/i18n/translations.ts,translations,seq-048,Descubre nuestro paraíso en imágenes,Discover our paradise in pictures,Découvrez notre paradis en images,,,
lib/i18n/translations.ts,translations,seq-049,Lo que dicen nuestros huéspedes,What our guests say,Ce que disent nos hôtes,,,
lib/i18n/translations.ts,translations,seq-050,Experiencias reales de quienes nos visitaron,Real experiences from those who visited us,Expériences réelles de ceux qui nous ont visités,,,
lib/i18n/translations.ts,translations,seq-051,Un lugar mágico. La atención es increíble y el entorno natural es simplemente espectacular. Volveremos pronto.,A magical place. The attention is incredible and the natural environment is simply spectacular. We will be back soon.,Un lieu magique. L'attention est incroyable et l'environnement naturel est tout simplement spectaculaire. Nous reviendrons bientôt.,,,
lib/i18n/translations.ts,translations,seq-052,María G.,María G.,María G.,,,
lib/i18n/translations.ts,translations,seq-053,"Madrid, España","Madrid, Spain","Madrid, Espagne",,,
lib/i18n/translations.ts,translations,seq-054,El mejor hotel eco-friendly en el que he estado. La comida deliciosa y las habitaciones son un sueño.,The best eco-friendly hotel I have ever stayed at. The food is delicious and the rooms are a dream.,Le meilleur hôtel éco-responsable dans lequel j'ai séjourné. La nourriture est délicieuse et les chambres sont un rêve.,,,
lib/i18n/translations.ts,translations,seq-055,Jean P.,Jean P.,Jean P.,,,
lib/i18n/translations.ts,translations,seq-056,"París, Francia","Paris, France","Paris, France",,,
lib/i18n/translations.ts,translations,seq-057,Experiencia inolvidable. El bungalow frente al mar superó todas nuestras expectativas.,Unforgettable experience. The beachfront bungalow exceeded all our expectations.,Expérience inoubliable. Le bungalow front de mer a dépassé toutes nos attentes.,,,
lib/i18n/translations.ts,translations,seq-058,Carlos M.,Carlos M.,Carlos M.,,,
lib/i18n/translations.ts,translations,seq-059,"Bogotá, Colombia","Bogotá, Colombia","Bogotá, Colombie",,,
lib/i18n/translations.ts,translations,seq-060,¿Listo para tu escapada?,Ready for your getaway?,Prêt pour votre escapade ?,,,
lib/i18n/translations.ts,translations,seq-061,Reserva ahora y vive la experiencia Palenque,Book now and live the Palenque experience,Réservez maintenant et vivez l'expérience Palenque,,,
lib/i18n/translations.ts,translations,seq-062,Reservar ahora,Book now,Réserver maintenant,,,
